ticker,company,earnings_date,bucket
AAPL,Apple,2026-01-29,mega_cap_platform
MSFT,Microsoft,2026-01-28,mega_cap_platform
GOOGL,Alphabet,2026-02-03,mega_cap_platform
AMZN,Amazon,2026-02-05,mega_cap_platform
META,Meta Platforms,2026-01-28,mega_cap_platform
TSLA,Tesla,2026-01-28,mega_cap_platform
NVDA,Nvidia,2026-02-25,mega_cap_platform
AMD,Advanced Micro Devices,2026-02-03,ai_semis
AVGO,Broadcom,2026-03-05,ai_semis
MU,Micron Technology,2025-12-17,ai_semis
TSM,Taiwan Semiconductor Manufacturing,2026-01-15,ai_semis
ASML,ASML Holding,2026-01-28,ai_semis
ORCL,Oracle,2026-03-10,ai_infrastructure
DELL,Dell Technologies,2026-02-26,ai_infrastructure
ANET,Arista Networks,2026-02-17,ai_infrastructure
VRT,Vertiv,2026-02-18,ai_infrastructure
CRM,Salesforce,2026-02-25,software_cloud
ETN,Eaton,2026-01-30,power_infrastructure
CEG,Constellation Energy,2026-02-19,power_infrastructure
EQIX,Equinix,2026-02-11,data_center_reit
